课程名称,课程类型,学习材料,教材,学分,课程规划,学习进度,学习难度,学习记录
30510833 经济学原理（1）,共同专业基础课程（必修）,https://www.xuetangx.com/learn/THU02011001169/THU02011001169/23896257/video/58201615?channel=i.area.course_list_all,,3,第一学年,未开始,1,
30510833 经济学原理（2）,共同专业基础课程（必修）,https://www.xuetangx.com/learn/thu02011002194/thu02011002194/23896538/video/58228465?channel=i.area.course_list_all,,3,第一学年,,,
30510123 会计学原理,共同专业基础课程（必修）,https://www.xuetangx.com/course/THU12021000321/23895569?channel=i.area.manual_search,,3,第二学年,,,
30510842 信息管理导论,共同专业基础课程（必修）,https://www.icourse163.org/learn/HHU-1207108802?tid=1207462202#/learn/content?type=detail&id=1212893597&cid=1217135001,,2,第一学年,,1,
40511833 管理学（商学导论）,共同专业基础课程（必修）,https://www.xuetangx.com/course/THU02041000368/23907959?channel=i.area.course_list_all,《管理的常识：商业生态系统运行的底层逻辑》,3,第三学年,,,
30510773 运筹学（1）,专业主修课程（必修）,https://www.xuetangx.com/learn/thu1201fu122801/thu1201fu122801/23897796/video/58327588?channel=i.area.manual_search,,3,第一学年,,,
30510273 数据结构,专业主修课程（必修）,,,3,第二学年,,,
30510202 管理信息系统,专业主修课程（必修）,,,2,第二学年,,,
30510283 数据库原理及应用,专业主修课程（必修）,,,3,第二学年,,,
40510853 动态系统分析与控制,专业主修课程（必修）,,,3,第二学年,,,
" 30510332 系统分析与设计",专业主修课程（必修）,,,2,第三学年,,,
40510223 生产与运作管理,专业主修课程（必修）,,,3,第三学年,,,
" 40511492 智能技术",专业主修课程（必修）,,,2,第三学年,,,
40511522 商务数据分析,专业主修课程（必修）,,,2,第三学年,,,
" 30510053 计量经济学",专业主修课程（选修）,,,3,,,,
" 30510793 运筹学(2)",专业主修课程（选修）,,,3,,,,
" 30510942 Java 程序设计",专业主修课程（选修）,,,2,,,,
" 40510193 管理系统模拟",专业主修课程（选修）,,,3,,,,
40510522 优化模型及软件工具,专业主修课程（选修）,,,2,,,,
40510842 电子商务,专业主修课程（选修）,,,2,,,,
40510992 企业资源规划,专业主修课程（选修）,,,2,,,,
" 40511273 信息资源管理",专业主修课程（选修）,https://www.xuetangx.com/course/hhuP0854009626/23904382?channel=i.area.manual_search,,3,,,,
40511323 人机接口设计,专业主修课程（选修）,,,3,,,,
40511502 管理科学与工程科研导论,专业主修课程（选修）,,,2,,,,
" 80516401 朱镕基经济管理理论与实践",自主发展（选修）,,,1,,,,
30510702 商法原理与实务,自主发展（选修）,,,2,,,,
30510812 营销管理,自主发展（选修）,,,2,,,,
30510912 商务沟通,自主发展（选修）,,,2,第二学年,,,
40511012 商务案例分析,自主发展（选修）,,,2,,,,
30510992 战略管理,自主发展（选修）,,,2,,,,
40511022 全球化商务管理实践,自主发展（选修）,,,2,,,,
40511891 全球商务观察—德国企业的管理与创新,自主发展（选修）,,,1,,,,
40511852 技术创新管理,自主发展（选修）,,,2,,,,
" 40511802 创业管理",自主发展（选修）,,,2,,,,
" 00510602 创业训练营",自主发展（选修）,,,2,,,,
" 40511752 商务谈判原理及模拟",自主发展（选修）,,,2,,,,
" 40511772 创业领导力",自主发展（选修）,,,2,,,,
40511762 营销分析,自主发展（选修）,,,2,,,,
" 40511782 消费行为学",自主发展（选修）,,,2,,,,
" 40511882 运营管理",自主发展（选修）,,,2,,,,
40511862 国际管理,自主发展（选修）,,,2,,,,
" 00510722 组织行为学",自主发展（选修）,,,2,,,,
人力资源管理,自主发展（选修）,,,2,,,,
领导力经典著作导读,自主发展（选修）,,,1,,,,
" 40510882 大型财务数据分析",自主发展（选修）,,,2,,,,
管理控制与决策分析,自主发展（选修）,,,2,,,,
审计与风险评估,自主发展（选修）,,,3,,,,
金融实务洞察 I,自主发展（选修）特色,,,1,,,,
金融实务洞察 II,自主发展（选修）特色,,,1,,,,
金融实务洞察 III,自主发展（选修）特色,,,1,,,,
金融学理论与实证 I,自主发展（选修）特色,,,1,,,,
金融学理论与实证 II,自主发展（选修）特色,,,1,,,,
金融学理论与实证 III,自主发展（选修）特色,,,1,,,,
大数据与经济分析 I,自主发展（选修）特色,,,1,,,,
大数据与经济分析 II,自主发展（选修）特色,,,1,,,,
大数据与经济分析 III,自主发展（选修）特色,,,1,,,,
财务数据分析与决策探究 I,自主发展（选修）特色,,,1,,,,
财务数据分析与决策探究 II,自主发展（选修）特色,,,1,,,,
财务数据分析与决策探究 III,自主发展（选修）特色,,,1,,,,
" 40511161 优秀人才领导力培养计划",自主发展（选修）特色,,,1,,,,
40511385 学术训练或企业实践,实习实践（必修）,,,5,第二学年,,,
商务数据分析整合实践（商务计算与智能分析特色项目同学可选）,实习实践（必修）,,,5,第二学年,,,
课程设计（信息管理和信息系统专业， 含商务计算与智能分析特色项目的商务数据应用开发实践）,实习实践（必修）,,,5,第三学年,,,
经济与金融专业实习,实习实践（必修）,,,5,,,,
商务数据采集与处理实践,实习实践（选修）,,,2,第一学年,,,
企业创新创业考察,实习实践（选修）,,,1,第一学年,,,
创新创业模拟实践,实习实践（选修）,,,1,第二学年,,,
领导力观察实践,实习实践（选修）,,,2,第二学年,,,
跨国创新创业考察,实习实践（选修）,,,1,第三学年,,,
领导力实践,实习实践（选修）,,,1,第三学年,,,
40510620 综合论文训练,综合论文,,,15,第四学年,,,
10610183 思想道德修养与法律基础,通识教育（必修）,https://www.xuetangx.com/course/THU03051000392/23895933?channel=i.area.manual_search,,3,第一学年,,1,
" 10680011 形势与政策",通识教育（必修）,https://www.xuetangx.com/course/XJTU03051000619/23896588?channel=i.area.manual_search,,1,第一学年,,,
10610193 中国近代史纲要,通识教育（必修）,https://www.xuetangx.com/course/THU03051000444/23895006?channel=i.area.manual_search,,2,第一学年,,,
10610204 马克思主义基本原理,通识教育（必修）,,,4,第二学年,,,
" 10680032 毛泽东思想和中国特色社会主义理论体系概论（1）",通识教育（必修）,,,2,第二学年,,,
" 10680042 毛泽东思想和中国特色社会主义理论体系概论（2）",通识教育（必修）,,,2,,,,
10680022 习近平新时代中国特色社会主义思想概论,通识教育（必修）,,,2,第二学年,,,
体育,通识教育（必修）,,,4,第一学年,,,
英语综合训练,通识教育（必修）,https://www.xuetangx.com/course/THU05021000374/23895889?channel=i.area.course_list_all,,2,第一学年,,1,
英语阅读写作,通识教育（必修）,,,1,,,,
英语听说交流,通识教育（必修）,,,1,,,,
第二外语,通识教育（选修）,,,,,,,
外国语言文化,通识教育（选修）,,,,,,,
外语专项提高,通识教育（选修）,,,,,,,
一外小语种学生,通识教育（选修）,,,,,,,
10421055 微积分 （1）,通识教育 数学 （必修）,https://www.xuetangx.com/course/THU07011000398/23895947?channel=i.area.manual_search,,5,第一学年,,1,
10421065 微积分 （2）,通识教育 数学 （必修）,,,5,第一学年,,,
10421324 线性代数,通识教育 数学 （必修）,https://www.xuetangx.com/course/THU07011000411/23896000?channel=i.area.manual_search,,4,第一学年,,,
10510134 概率论与数理统计,通识教育 数学 （必修）,,,4,第二学年,,,
30511073 计算机语言与程序设计,通识教育 计算机 （必修）,https://www.xuetangx.com/course/THU08091000270/23896101?channel=i.area.manual_search,,3,第一学年,,1,
20510163 商务计算与智能分析基础,通识教育 计算机 （必修）,,,3,,,,
10510123 中国文明,通识教育 核心能力 认知文明,,,3,第三学年,,,
10510103 西方文明,通识教育 核心能力 认知文明,,,3,第三学年,,,
10510232 中外艺术史（1）,通识教育 核心能力 艺术与文化,,,2,第三学年,,,
10510242 中外艺术史（2）,通识教育 核心能力 艺术与文化,,,2,第三学年,,,
30700313 心理学概论,通识教育 核心能力 探究社会,,,3,第四学年,,,
30700283 社会学概论,通识教育 核心能力 探究社会,,,3,第三学年,,,
40700143 社会网分析,通识教育 核心能力 探究社会,,,3,第三学年,,,
40700273 政治学概论,通识教育 核心能力 探究社会,,,3,,,,
10430205 物理学导论,通识教育 核心能力 科学思维,,,5,第二学年,,,
10431014 物理学概论,通识教育 核心能力 科学思维,,,4,第二学年,,,
10510253 物理学简史,通识教育 核心能力 科学思维,,,3,第二学年,,,
10450012 现代生物学导论,通识教育 核心能力 科学思维,,,2,第三学年,,,
00450182 生命科学简史,通识教育 核心能力 科学思维,,,2,第三学年,,,
10510173 批判性思维与道德推理,通识教育 核心能力 申辩、沟通、与引领,,,3,第二学年,,,
10691342 写作与沟通,通识教育 核心能力 申辩、沟通、与引领,https://www.xuetangx.com/course/xasyu05011006309/23901811?channel=i.area.manual_search,,2,第一学年,,1,
10510302 沟通基础,通识教育 核心能力 申辩、沟通、与引领,,,2,,,,
00511142 领导力提升,通识教育（选修）,,,2,第三学年,,,
10510292 创意创新创业：从构思到影响力,通识教育 核心能力 创造、想象与创新,https://www.xuetangx.com/course/THU67011000860/23907906?channel=i.area.manual_search,,2,第一学年,,,
10510112 中国与世界：法律传统,通识教育 核心能力 全球胜任力,,,2,第四学年,,,
30511062 中国与世界：制度演变,通识教育 核心能力 全球胜任力,,,2,,,,
40511462 中国与世界：历史视角,通识教育 核心能力 全球胜任力,,,2,第四学年,,,
10700083 民主的历程,通识教育 核心能力 全球胜任力,,,3,第四学年,,,
10510222 中国与世界：中国与世界的发展大势及其影响,通识教育 核心能力 全球胜任力,,,2,第四学年,,,
40511301 人生发展与职业规划 (1),通识教育 核心能力 全球胜任力,,,1,第二学年,,,
40511301 人生发展与职业规划 (2),通识教育 核心能力 全球胜任力,,,1,第二学年,,,
计算机系统与网络原理,通识教育 计算机 （必修）,,,3,第二学年,,,
微积分先修课,高中数学,https://www.xuetangx.com/learn/THU07011000397/THU07011000397/23896368/video/58212622?channel=i.area.manual_search,中国大学先修课《微积分》（上/下）,,第一学年,,,
高中数学（除立体几何、向量代数、概论统计、导数及导数应用）,高中数学,https://www.bilibili.com/video/BV147411K7xu?spm_id_from=333.788.player.switch&vd_source=48f653c5a2af9ab4c5fe1cb36aa262e0&p=2,,,第一学年,,1,
信息素养,其它,"https://www.xuetangx.com/course/THU12051000419/23896024?channel=i.area.manual_search
https://www.icourse163.org/course/SYSU-1001936003",,,第一学年,进行中,1,信息素养课程
信息素养通识教程：数字化生存的必修课,其它,https://www.icourse163.org/learn/SYSU-1001936003?tid=1474146468#/learn/content,,,第一学年,,,
